sku,title,price_in_pounds,category,description,in_stocks,product_image_link,size,color,activity,gender,material,pattern,strap,style,product_link,scrape_ts
WT08,Antonia Racer Tank,34.0,Performance Fabrics Clothing,"You won’t know what you like best about the Antonia Racer Tank: soft, stretchy, lightweight fabric? Super-cute colorblocked details? Whatever it is, this piece is sure to quickly move to the top of your workout rotation.
• Machine wash.• Line dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt08-black_main.jpg,"XS, S, M, L, XL","Black, Purple, Yellow",,,,,,,https://gopher1.extrkt.com/?product=antonia-racer-tank,2024-02-04 19:54:50
MSH02,Apollo Running Short,32.5,Shorts,"Fleet of foot or slow and steady, you’ll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.
• Black shorts with green accents.• Side pockets.• 4″ inseam.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh02-black_main.jpg,"32, 33, 34, 36",Black,,,,,,,https://gopher1.extrkt.com/?product=apollo-running-short,2024-02-04 19:54:52
MSH11,Arcadio Gym Short,20.0,Shorts,"The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.
• Royal blue cotton shorts.• Built-in mesh brief.• 87% Spandex 13% Lycra.• Adjustable drawstring.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh11-blue_main.jpg,"32, 33, 34, 36","Black, Blue, Red",,,,,,,https://gopher1.extrkt.com/?product=arcadio-gym-short,2024-02-04 19:54:55
MT07,Argus All-Weather Tank,22.0,Eco Friendly Clothing,"The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.
• Dark gray polyester spandex tank.• Reflective details for nighttime visibility.• Stash pocket.• Anti-chafe flatlock seams.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt07-gray_main.jpg,"XS, S, M, L, XL",Gray,,,,,,,https://gopher1.extrkt.com/?product=argus-all-weather-tank,2024-02-04 19:54:58
WH09,Ariel Roll Sleeve Sweatshirt,39.0,Eco Friendly Clothing,"Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.
• Purple two-tone lightweight hoodie.• 100% cotton.• Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve.• Casual, comfy piece for running errands or weekend activities.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh09-purple_main.jpg,"XS, S, M, L, XL","Green, Purple, Red",,,,,,,https://gopher1.extrkt.com/?product=ariel-roll-sleeve-sweatshirt,2024-02-04 19:55:00
WSH04,Artemis Running Short,45.0,Shorts,"Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.
• Black rouched shorts with mint waist.• Soft, lightweight construction.• LumaTech™ wicking technology.• Semi-fitted.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh04-black_main.jpg,"28, 29, 30, 31, 32","Black, Green, Orange",,,,,,,https://gopher1.extrkt.com/?product=artemis-running-short,2024-02-04 19:55:03
MT11,Atlas Fitness Tank,18.0,Eco Friendly Clothing,"From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.
• Teal scoop neck cotton tank.• Triblend, soft fabric.• Relaxed fit.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt11-blue_main.jpg,"XS, S, M, L, XL",Blue,,,,,,,https://gopher1.extrkt.com/?product=atlas-fitness-tank,2024-02-04 19:55:04
MS12,Atomic Endurance Running Tee (Crew-Neck),29.0,Tees,"Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.
• Red polyester tee.• Crew neckline.• Cocona® performance fabric.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms12-red_main.jpg,"XS, S, M, L, XL","Black, Blue, Red",,,,,,,https://gopher1.extrkt.com/?product=atomic-endurance-running-tee-crew-neck,2024-02-04 19:55:06
MS11,Atomic Endurance Running Tee (V-neck),28.0,Tees,"Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.
• Lime heathered v-neck tee.• Ultra-lightweight.• Moisture-wicking Cocona® fabric.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms11-green_main.jpg,"XS, S, M, L, XL","Blue, Green, Yellow",,,,,,,https://gopher1.extrkt.com/?product=atomic-endurance-running-tee-v-neck,2024-02-04 19:55:08
WJ03,Augusta Pullover Jacket,57.0,Jackets,"It’s hard to be uncomfortable in the Augusta Pullover Jacket with ¼ zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.
• Pink half-zip pullover.• Front pouch pockets.• Fold-down collar.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj03-red_main.jpg,"XS, S, M, L, XL","Blue, Orange, Red",,,,,,,https://gopher1.extrkt.com/?product=augusta-pullover-jacket,2024-02-04 19:55:10
WH03,Autumn Pullie,57.0,Hoodies & Sweatshirts,"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.
• Cayenne Short-Sleeve roll neck sweatshirt.• Relaxed fit.• Short-Sleeves.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh03-red_main.jpg,"XS, S, M, L, XL","Green, Purple, Red",,,,,,,https://gopher1.extrkt.com/?product=autumn-pullie,2024-02-04 19:55:12
MS03,Balboa Persistence Tee,29.0,Tees,"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.
• Crew neckline.• Semi-fitted.• Cocona® performance fabric.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms03-black_main.jpg,"XS, S, M, L, XL","Gray, Green, Orange",,,,,,,https://gopher1.extrkt.com/?product=balboa-persistence-tee,2024-02-04 19:55:16
WP08,Bardot Capri,48.0,Pants Clothing,"Black is back — was it ever gone? — which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.
• Black capris with pink waistband.• Cropped leggings.• Waistband drawcord.• Flat, thin and flattering.• Made with organic fabric.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp08-black_main.jpg,"28, 29","Black, Green, Red",,,,,,,https://gopher1.extrkt.com/?product=bardot-capri,2024-02-04 19:55:18
MJ01,Beaumont Summit Kit,42.0,Jackets,"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package.
• Yellow full zip rain jacket.• Full-zip front.• Stand-up collar.• Elasticized cuffs.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj01-yellow_main.jpg,"XS, S, M, L, XL","Orange, Red, Yellow",,,,,,,https://gopher1.extrkt.com/?product=beaumont-summit-kit,2024-02-04 19:55:20
WT01,Bella Tank,29.0,Eco Friendly Clothing,"Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you’ll be supported and stylish at the same time.
• Navy blue tank top – cotton.• Feminine scoop neckline.• Power mesh lining in shelf bra for superior support.• Soft, breathable fabric.• Dry wick fabric to stay cool and dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt01-blue_main.jpg,"XS, S, M, L, XL","Black, Blue, Orange",,,,,,,https://gopher1.extrkt.com/?product=bella-tank,2024-02-04 19:55:22
WSH05,Bess Yoga Short,28.0,Women Sale Clothing,"Designed for intense physical activity – think bikram – our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.
• Navy cotton shorts with light bue waist detail.• Front shirred waistband.• Flat-lock, chafe-free side seams.• Vented gusset.• Hidden interior pocket.• Sustainable and recycled fabric.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh05-blue_main.jpg,"28, 29, 30, 31, 32","Blue, Purple, Yellow",,,,,,,https://gopher1.extrkt.com/?product=bess-yoga-short,2024-02-04 19:55:24
24-WG01,Bolo Sport Watch,49.0,Watches,"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg01-bk-0.jpg,,,"Recreation, Sports",Women,Silicone,,,,https://gopher1.extrkt.com/?product=bolo-sport-watch,2024-02-04 19:55:27
WT09,Breathe-Easy Tank,34.0,Erin Recommends Clothing,"The Breathe Easy Tank is so soft, lightweight, and comfortable, you won’t even know it’s there — until its high-tech Cocona® fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.
• Machine wash/dry.• Cocona® fabric.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt09-white_main.jpg,"XS, S, M, L, XL","Purple, White, Yellow",,,,,,,https://gopher1.extrkt.com/?product=breathe-easy-tank,2024-02-04 19:55:30
MH03,Bruno Compete Hoodie,63.0,Eco Friendly Clothing,"Stay comfortable and stay in the race no matter what the weather’s up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.
• Full zip black hoodie pullover.• Adjustable drawstring hood.• Ribbed cuffs/waistband.• Kangaroo pocket.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh03-black_main.jpg,"XS, S, M, L, XL","Black, Blue, Green",,,,,,,https://gopher1.extrkt.com/?product=bruno-compete-hoodie,2024-02-04 19:55:33
MP01,Caesar Warm-Up Pant,35.0,Pants Clothing,"Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech™ fabric wicks away moisture so you don’t have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.
• Light gray heather knit straight leg pants.• Relaxed fit.• Inseam: 32″.• Machine wash/dry.• CoolTech™ wicking fabric.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp01-gray_main.jpg,"32, 33, 34, 36","Black, Gray, Purple",,,,,,,https://gopher1.extrkt.com/?product=caesar-warm-up-pant,2024-02-04 19:55:35
WP09,Carina Basic Capri,51.0,Pants Clothing,"Perfect as workout pants or “accessory,” the Carina Basic Capri is comfy as it is practical — try it under skirts or shorts.
• Black capris with rouching detail.• 93% cotton, 7% spandex.• Elasticized waistband.• Reinforced seams with exposed topstitching.• Soft, medium-weight jersey with added stretch.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp09-black_main.jpg,"28, 29","Black, Blue, Purple",,,,,,,https://gopher1.extrkt.com/?product=carina-basic-capri,2024-02-04 19:55:37
WH08,Cassia Funnel Sweatshirt,48.0,Performance Fabrics Clothing,"The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.
• White full zip hoodie with gray detail.• 65% Cotton/28% Nylon/7% Spandex.• Front slash pockets.• Tagless label at back neck.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh08-white_main.jpg,"XS, S, M, L, XL","Orange, Purple, White",,,,,,,https://gopher1.extrkt.com/?product=cassia-funnel-sweatshirt,2024-02-04 19:55:38
MT12,Cassius Sparring Tank,18.0,Tanks,"Whether you’re up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.
• Royal crewneck cotton tank.• Contrast stitching.• Self fabric binding at neckline.• Slim fit.• 96% Merino / 4% LYCRA®.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt12-blue_main.jpg,"XS, S, M, L, XL",Blue,,,,,,,https://gopher1.extrkt.com/?product=cassius-sparring-tank,2024-02-04 19:55:40
WB03,Celeste Sports Bra,39.0,Performance Fabrics Clothing,"Whatever your goals for the day’s workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.
• Mint bra top.• Seam-free interior molded cups• Odor control.• UV protection.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb03-green_main.jpg,"XS, S, M, L, XL","Green, Red, Yellow",,,,,,,https://gopher1.extrkt.com/?product=celeste-sports-bra,2024-02-04 19:55:43
MH01,Chaz Kangeroo Hoodie,52.0,Eco Friendly Clothing,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
• Two-tone gray heather hoodie.• Drawstring-adjustable hood.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh01-gray_main.jpg,"XS, S, M, L, XL","Black, Gray, Orange",,,,,,,https://gopher1.extrkt.com/?product=chaz-kangeroo-hoodie,2024-02-04 19:55:44
WT06,Chloe Compete Tank,39.0,Bras & Tanks,"You’ve earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.
• Royal blue tank top – nylon/spandex.• Flatlock stitching.• Moisture-wicking fabric.• Ergonomic seaming.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt06-blue_main.jpg,"XS, S, M, L, XL","Blue, Red, Yellow",,,,,,,https://gopher1.extrkt.com/?product=chloe-compete-tank,2024-02-04 19:55:47
WH12,Circe Hooded Ice Fleece,68.0,Performance Fabrics Clothing,"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.
Full-zip front.Three-panel hood.Flatlock seams throughout.Welt hand pockets.Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh12-gray_main.jpg,"XS, S, M, L, XL","Gray, Green, Purple",,,,,,,https://gopher1.extrkt.com/?product=circe-hooded-ice-fleece,2024-02-04 19:55:49
24-WG03,Clamber Watch,54.0,Watches,"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg03-gr-0.jpg,,,"Recreation, Athletic, Outdoor, Gym",Women,"Plastic, Rubber, Silicone",,,,https://gopher1.extrkt.com/?product=clamber-watch,2024-02-04 19:55:50
MSH01,Cobalt CoolTech™ Fitness Short,44.0,Erin Recommends Clothing,"It’s not rocket surgery: the hotter your conditions, the more you need to stay cool. That’s why the Cobalt CoolTech™ Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.
• Light blue nylon shorts.• Relaxed fit.• 5″ inseam.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh01-blue_main.jpg,"32, 33, 34, 36","Black, Blue, Red",,,,,,,https://gopher1.extrkt.com/?product=cobalt-cooltech-fitness-short,2024-02-04 19:55:53
24-WB02,Compete Track Tote,32.0,Bags,"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb02-green-0.jpg,,,"Gym, School, Yoga",,"Nylon, Polyester, Rayon",Solid,"Adjustable, Double, Shoulder","Exercise, Tote",https://gopher1.extrkt.com/?product=compete-track-tote,2024-02-04 19:55:56
WP04,Cora Parachute Pant,75.0,Pants Clothing,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.
• Light blue parachute pants.• Power mesh internal waistband for support.• Internal waistband pocket.• Antimicrobial finish.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp04-blue_main.jpg,"28, 29","Black, Blue, White",,,,,,,https://gopher1.extrkt.com/?product=cora-parachute-pant,2024-02-04 19:55:58
MP12,Cronus Yoga Pant,48.0,Pants Clothing,"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.
• Drawstring waist.• Loose, straight-leg fit.• Lightweight cotton-recycled blend.• Front pockets with stitching detail.• Elastic ankle.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp12-black_main.jpg,"32, 33, 34, 36","Black, Blue, Red",,,,,,,https://gopher1.extrkt.com/?product=cronus-yoga-pant,2024-02-04 19:56:00
24-MB03,Crown Summit Backpack,38.0,Bags,"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mb03-black-0.jpg,,,"Gym, Hiking, Overnight, School, Trail, Travel, Urban",,"Nylon, Polyester",Solid,"Adjustable, Double, Padded",Backpack,https://gopher1.extrkt.com/?product=crown-summit-backpack,2024-02-04 19:56:04
24-MG05,Cruise Dual Analog Watch,55.0,New Luma Yoga Collection,"Whether you’re traveling or wish you were, you’ll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg05-br-0.jpg,,,Recreation,Men,"Leather, Plastic",,,,https://gopher1.extrkt.com/?product=cruise-dual-analog-watch,2024-02-04 19:56:06
WH06,Daphne Full-Zip Hoodie,59.0,Hoodies & Sweatshirts,"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.
• Purple full zip hoodie with pink accents.• Heather texture.• 4-way stretch.• Pre-shrunk.• Hood lined in vegan Sherpa for added warmth.• Ribbed hem on hood and front pouch pocket.• 60% Cotton / 40% Polyester.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh06-purple_main.jpg,"XS, S, M, L, XL",Purple,,,,,,,https://gopher1.extrkt.com/?product=daphne-full-zip-hoodie,2024-02-04 19:56:09
WP10,Daria Bikram Pant,51.0,Eco Friendly Clothing,"The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.
• Heather gray capris with pink striped waist.• Flatlock seams.• Interior pocket.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp10-gray_main.jpg,"28, 29","Black, Gray, White",,,,,,,https://gopher1.extrkt.com/?product=daria-bikram-pant,2024-02-04 19:56:11
24-MG02,Dash Digital Watch,92.0,New Luma Yoga Collection,"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg02-bk-0.jpg,,,"Athletic, Sports, Outdoor, Gym",Men,Rubber,,,,https://gopher1.extrkt.com/?product=dash-digital-watch,2024-02-04 19:56:14
MS07,Deion Long-Sleeve EverCool™ Tee,39.0,Tees,"When you’re training, ordinary tees don’t cut it. That’s why the Dion Long-Sleeve EverCool™ Tee features revolutionary Cocona® fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.
• Fitted.• Contrast inner neck tape.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms07-green_main.jpg,"XS, S, M, L, XL","Black, Green, White",,,,,,,https://gopher1.extrkt.com/?product=deion-long-sleeve-evercool-tee,2024-02-04 19:56:16
WP12,Deirdre Relaxed-Fit Capri,63.0,Performance Fabrics Clothing,"Invigorate your yoga practice with this Deirdre Relaxed-Fit Capri, designed to let you move without strain or restriction.
• Heather gray capris with mint green waist & accents.• Comfortable, relaxed fit with high rise.• Moisture-wicking, 4-way stretch construction.• Lined with mesh for better support.• Hidden pocket at waistband.• Flatlock seams and lined gusset for comfort.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp12-gray_main.jpg,"28, 29","Blue, Gray, Green",,,,,,,https://gopher1.extrkt.com/?product=deirdre-relaxed-fit-capri,2024-02-04 19:56:18
WS05,Desiree Fitness Tee,24.0,Tees Clothing,"When you’re too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.
• Short-Sleeves.• Performance fabric.• Machine wash/line dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws05-black_main.jpg,"XS, S, M, L, XL","Black, Orange, Yellow",,,,,,,https://gopher1.extrkt.com/?product=desiree-fitness-tee,2024-02-04 19:56:22
WP06,Diana Tights,59.0,Erin Recommends Clothing,"Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you’ll feel like anything is possible in the capri-style Diana Tights.
• Black legging with slate details.• Flat-lock, chafe-free side seams.• Vented gusset.• Secret interior pocket.• Sustainable and recycled fabric.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp06-black_main.jpg,"28, 29","Black, Blue, Orange",,,,,,,https://gopher1.extrkt.com/?product=diana-tights,2024-02-04 19:56:24
